recipeId,stepNumber,instruction
r1,1,Turn gas ON to medium flame and place a heavy-bottom pan on the stove.
r1,2,Measure 200 grams paneer and cut into 2 cm cubes; keep cubes on a plate.
r1,3,"In a mixing bowl add 1/2 cup thick curd, 2 tbsp besan, 1 tbsp ginger-garlic paste, 1 tsp red chilli powder, 1/2 tsp turmeric, 1/2 tsp garam masala, 1 tsp kasuri methi and 1 tsp salt; mix until smooth."
r1,4,Coat paneer cubes evenly with the marinade.
r1,5,Cover bowl and rest 30 minutes.
r1,6,Heat 2 tbsp oil in pan on medium flame for 40 seconds.
r1,7,Place paneer cubes and sear each side 40–50 seconds.
r1,8,Remove paneer and keep aside.
r1,9,Heat 1 tbsp butter + 1 tbsp oil; add chopped onion.
r1,10,Sauté 4–5 minutes until golden.
r1,11,"Add tomatoes, cook 5 minutes."
r1,12,"Add cashews, cook 1.5 minutes, blend to smooth paste."
r1,13,"Return paste, add spices and salt."
r1,14,Cook 6–7 minutes until oil separates.
r1,15,"Add 1/2 cup water, boil then simmer 3 minutes."
r1,16,"Add cream, mix, add paneer, simmer 5 minutes."
r1,17,Turn gas OFF and rest 2 minutes.
r10,1,Add spices and mix well.
r10,2,Prepare all ingredients.
r10,3,Heat oil in pan.
r10,4,Add onions and sauté.
r10,5,Simmer for few minutes.
r10,6,Add main ingredient and cook.
r11,1,Prepare all ingredients.
r11,2,Simmer for few minutes.
r11,3,Add spices and mix well.
r11,4,Add main ingredient and cook.
r11,5,Heat oil in pan.
r12,1,Add spices and mix well.
r12,2,Add main ingredient and cook.
r12,3,Prepare all ingredients.
r12,4,Simmer for few minutes.
r12,5,Add onions and sauté.
r12,6,Turn gas off and serve hot.
r12,7,Heat oil in pan.
r13,1,Add onions and sauté.
r13,2,Heat oil in pan.
r13,3,Add main ingredient and cook.
r13,4,Add spices and mix well.
r13,5,Simmer for few minutes.
r14,1,Simmer for few minutes.
r14,2,Turn gas off and serve hot.
r14,3,Prepare all ingredients.
r14,4,Add spices and mix well.
r14,5,Heat oil in pan.
r15,1,Simmer for few minutes.
r15,2,Heat oil in pan.
r15,3,Prepare all ingredients.
r15,4,Add spices and mix well.
r15,5,Turn gas off and serve hot.
r15,6,Add onions and sauté.
r16,1,Add main ingredient and cook.
r16,2,Heat oil in pan.
r16,3,Add spices and mix well.
r16,4,Prepare all ingredients.
r16,5,Add onions and sauté.
r17,1,Add main ingredient and cook.
r17,2,Add onions and sauté.
r17,3,Add spices and mix well.
r17,4,Heat oil in pan.
r17,5,Simmer for few minutes.
r18,1,Add main ingredient and cook.
r18,2,Prepare all ingredients.
r18,3,Add onions and sauté.
r18,4,Add spices and mix well.
r18,5,Heat oil in pan.
r18,6,Simmer for few minutes.
r19,1,Prepare all ingredients.
r19,2,Turn gas off and serve hot.
r19,3,Simmer for few minutes.
r19,4,Add onions and sauté.
r19,5,Heat oil in pan.
r19,6,Add main ingredient and cook.
r19,7,Add spices and mix well.
r2,1,Prepare all ingredients.
r2,2,Turn gas off and serve hot.
r2,3,Simmer for few minutes.
r2,4,Add onions and sauté.
r2,5,Heat oil in pan.
r2,6,Add main ingredient and cook.
r2,7,Add spices and mix well.
r20,1,Add onions and sauté.
r20,2,Heat oil in pan.
r20,3,Prepare all ingredients.
r20,4,Simmer for few minutes.
r20,5,Turn gas off and serve hot.
r3,1,Heat oil in pan.
r3,2,Turn gas off and serve hot.
r3,3,Add spices and mix well.
r3,4,Add main ingredient and cook.
r3,5,Add onions and sauté.
r3,6,Prepare all ingredients.
r4,1,Prepare all ingredients.
r4,2,Heat oil in pan.
r4,3,Simmer for few minutes.
r4,4,Add onions and sauté.
r4,5,Turn gas off and serve hot.
r5,1,Prepare all ingredients.
r5,2,Heat oil in pan.
r5,3,Add spices and mix well.
r5,4,Turn gas off and serve hot.
r5,5,Add onions and sauté.
r5,6,Add main ingredient and cook.
r6,1,Heat oil in pan.
r6,2,Add main ingredient and cook.
r6,3,Add onions and sauté.
r6,4,Simmer for few minutes.
r6,5,Prepare all ingredients.
r6,6,Add spices and mix well.
r7,1,Add main ingredient and cook.
r7,2,Simmer for few minutes.
r7,3,Heat oil in pan.
r7,4,Prepare all ingredients.
r7,5,Add onions and sauté.
r7,6,Add spices and mix well.
r7,7,Turn gas off and serve hot.
r8,1,Prepare all ingredients.
r8,2,Add onions and sauté.
r8,3,Simmer for few minutes.
r8,4,Turn gas off and serve hot.
r8,5,Heat oil in pan.
r8,6,Add spices and mix well.
r9,1,Prepare all ingredients.
r9,2,Turn gas off and serve hot.
r9,3,Simmer for few minutes.
r9,4,Heat oil in pan.
r9,5,Add spices and mix well.
r9,6,Add onions and sauté.
r9,7,Add main ingredient and cook.
